item_code,name,hardware_type,brand,series,runner_height,runner_depth,handling_cost,unit_cost,machining_cost,assembly_cost
538.01.893,"5 Burner Cooktop, 60cm, Milano",appliance,Hafele,Appliances,,,0,,0,0
538.01.933,"90cm Ceramic Cooktop, Milano",appliance,Hafele,Appliances,,,0,686.69,0,0
532.77.489,Carbon filter,appliance,Hafele,Appliances,,,0,49.87,0,0
532.77.490,Carbon filter,appliance,Hafele,Appliances,,,0,54.03,0,0
539.80.990,"Carbon filter, for slideout ranghood",appliance,Hafele,Appliances,,,0,60.6,0,0
P-01582615,Charcoal Filter,appliance,Hafele,Appliances,,,0,26.36,0,0
538.01.673,"Cooktop, 5 Burner Gas Cooktop",appliance,Hafele,Appliances,,,0,418.92,0,0
539.40.063,"Cooktop, Hafele Ceramic cooktop 90cm",appliance,Hafele,Appliances,,,0,766.6,0,0
539.40.042,"Cooktop, Hafele Ceramic cooktop",appliance,Hafele,Appliances,,,0,190.27,0,0
539.40.073,"Cooktop, Hafele Ceramic cooktop",appliance,Hafele,Appliances,,,0,444.82,0,0
539.40.001,"Cooktop, Hafele Gas Cooktop, 60cm",appliance,Hafele,Appliances,,,0,212.21,0,0
539.40.002,"Cooktop, Hafele Gas cooktop, 60cm",appliance,Hafele,Appliances,,,0,381.18,0,0
P-01581829,"Cooktop, Hafele Gas Cooktop, with Wok",appliance,Hafele,Appliances,,,0,243.57,0,0
539.40.012,"Cooktop, Hafele Gas cooktop, with wok, 60cm",appliance,Hafele,Appliances,,,0,444.82,0,0
539.40.023,"Cooktop, Hafele Gas cooktop, with wok, 90cm",appliance,Hafele,Appliances,,,0,572.09,0,0
539.40.072,"Cooktop, Hafele Induction cooktop 60cm",appliance,Hafele,Appliances,,,0,667.54,0,0
539.40.083,"Cooktop, Hafele Induction cooktop 90cm",appliance,Hafele,Appliances,,,0,890.27,0,0
P-01993473,"Cooktop, Milano 4 Burner cooktop, 60cm",appliance,Hafele,Appliances,,,0,275.56,0,0
539.40.503,"Cooktop, Milano 5 Burner cooktop, 90cm",appliance,Hafele,Appliances,,,0,422.77,0,0
539.40.511,"Cooktop, Milano Ceramic cooktop, 60cm",appliance,Hafele,Appliances,,,0,,0,0
539.40.512,"Cooktop, Milano Ceramic cooktop, 90cm",appliance,Hafele,Appliances,,,0,393.34,0,0
539.40.521,"Cooktop, Milano Induction cooktop, 60cm",appliance,Hafele,Appliances,,,0,,0,0
565.69.997,"Cover Plate, Cabiseal™ Dishwasher, inlet/outlet hose cover plate",dishwasher,Hafele,Appliances,,,0,15.67,0,0
539.20.131,"Dishwasher, Hafele Compact dishwasher",dishwasher,Hafele,Appliances,,,0,487.58,0,0
539.20.111,"Dishwasher, Hafele Freestanding dishwasher, 60cm",dishwasher,Hafele,Appliances,,,0,675.92,0,0
539.20.121,"Dishwasher, Hafele Integrated dishwasher, 60cm",dishwasher,Hafele,Appliances,,,0,766.6,0,0
532.84.790,"Door panel, for compact dishwasher",dishwasher,Hafele,Appliances,,,0,80.03,0,0
539.90.552,"Dryer, Hafele heat pump dryer, 8kg",laundry_appliance,Hafele,Appliances,,,0,635.73,0,0
539.90.550,"Dryer, Hafele Vented dryer, 7kg",laundry_appliance,Hafele,Appliances,,,0,368.58,0,0
568.16.020,"Follower hinge, For built-in refrigerators behind furniture doors",appliance,Hafele,Appliances,,,0,55.25,0,0
538.31.370,"Microwave, Built in microwave, 60cm",appliance,Hafele,Appliances,,,0,351.47,0,0
539.30.030,"Microwave, Hafele Built in microwave, 25L",appliance,Hafele,Appliances,,,0,452.71,0,0
588.59.991,"Mini stop, for washing machine",laundry_appliance,Hafele,Appliances,,,0,24.94,0,0
539.60.632,"Oven, Hafele 5 Function Oven, 60cm",appliance,Hafele,Appliances,,,0,472.13,0,0
