item_code,name,hardware_type,brand,series,runner_height,runner_depth,handling_cost,unit_cost,machining_cost,assembly_cost,source_category,product_type,product_id,raw_article_sku,sale_price_aud,rrp_aud,unit,availability,pricing_status,price_scope,review_status,visibility_status,image_url,source_image_url,source_url,captured_at,scraper_item_hash
538.01.893,"5 Burner Cooktop, 60cm, Milano",appliance,Hafele,Appliances,,,0,,0,0,Appliances,appliance,P-01318848,53801893,,605.9,Piece (PCE),,captured_rrp_buy_price_upon_request,single_article_or_default,needs_price_review,Needs Review,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04431467.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04431467.jpg,https://www.hafele.com.au/en/product/5-burner-cooktop-60cm-milano/P-01318848/,2026-06-21T02:39:12.869Z,6220bb634bff01a46954aef5a3fd03c5dbf0080c5514abe4f2bf9a1b3d6ce7d9
538.01.933,"90cm Ceramic Cooktop, Milano",appliance,Hafele,Appliances,,,0,686.69,0,0,Appliances,appliance,P-01318850,53801933,686.69,858.36,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04426866.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04426866.jpg,https://www.hafele.com.au/en/product/90cm-ceramic-cooktop-milano/P-01318850/,2026-06-21T02:39:12.869Z,9ceb3300c07f7d20b326ca6d84489ba1542d0386026bcb0ed449f8086286afe3
532.77.489,Carbon filter,appliance,Hafele,Appliances,,,0,49.87,0,0,Appliances,appliance,P-02000191,53277489,49.87,62.34,Pair (PR),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04954781.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04954781.jpg,https://www.hafele.com.au/en/product/carbon-filter/P-02000191/,2026-06-21T02:39:12.869Z,e9d03af7aae543207da11b1d5c9e76814519308d0f1841e49f9ca27c4ae494cf
532.77.490,Carbon filter,appliance,Hafele,Appliances,,,0,54.03,0,0,Appliances,appliance,P-02000190,53277490,54.03,67.54,Pair (PR),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04954778.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04954778.jpg,https://www.hafele.com.au/en/product/carbon-filter/P-02000190/,2026-06-21T02:39:12.869Z,985e95e04572b7ebd9743643b0a66a1aa73593892f2a93270dc38d99fa29b0c4
539.80.990,"Carbon filter, for slideout ranghood",appliance,Hafele,Appliances,,,0,60.6,0,0,Appliances,appliance,P-02057403,53980990,60.6,75.75,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04991348.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04991348.jpg,https://www.hafele.com.au/en/product/carbon-filter-for-slideout-ranghood/P-02057403/,2026-06-21T02:39:12.869Z,f1782c7d7046f499aa576b6705345da7ea7a048ce5c8abe3355653ed2aeccdda
P-01582615,Charcoal Filter,appliance,Hafele,Appliances,,,0,26.36,0,0,Appliances,appliance,P-01582615,P-01582615,26.36,37.65,Pair (PR),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04702968.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04702968.jpg,https://www.hafele.com.au/en/product/charcoal-filter/P-01582615/,2026-06-21T02:39:12.868Z,bd525fc0ef3cfcf252d87a0981745d6a8d9728288438447dfb9e4febcb6fafa2
538.01.673,"Cooktop, 5 Burner Gas Cooktop",appliance,Hafele,Appliances,,,0,418.92,0,0,Appliances,appliance,P-01538901,53801673,418.92,902.68,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04825402.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04825402.jpg,https://www.hafele.com.au/en/product/cooktop-5-burner-gas-cooktop/P-01538901/,2026-06-21T02:39:12.869Z,c55739cec1e385c0f2d943c6d8d91f3a1e58e54f44a62a687ad09b3ca3c7fb58
539.40.063,"Cooktop, Hafele Ceramic cooktop 90cm",appliance,Hafele,Appliances,,,0,766.6,0,0,Appliances,appliance,P-02010173,53940063,766.6,1095.14,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-05030366.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-05030366.jpg,https://www.hafele.com.au/en/product/cooktop-hafele-ceramic-cooktop-90cm/P-02010173/,2026-06-21T02:39:12.868Z,6d3398c35d5f4eb4cf302bc7e8388ad3031b0aae9229a2f8d8dd6c6e98520a86
539.40.042,"Cooktop, Hafele Ceramic cooktop",appliance,Hafele,Appliances,,,0,190.27,0,0,Appliances,appliance,P-02006247,53940042,190.27,271.81,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04944208.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04944208.jpg,https://www.hafele.com.au/en/product/cooktop-hafele-ceramic-cooktop/P-02006247/,2026-06-21T02:39:12.868Z,b26006cbb688fad33712b4d547fa7a2a8fddecb26135bb01670ad64b1b06e560
539.40.073,"Cooktop, Hafele Ceramic cooktop",appliance,Hafele,Appliances,,,0,444.82,0,0,Appliances,appliance,P-01973202,53940073,444.82,635.45,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978524.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978524.jpg,https://www.hafele.com.au/en/product/cooktop-hafele-ceramic-cooktop/P-01973202/,2026-06-21T02:39:12.868Z,904c34fde62b441ac97a43c997780f47052bd398daacc8e2d7749add315f60d9
