item_code,name,material_type,brand,finish,substrate,thickness,area_cost,area_handling_cost,area_assembly_cost,source_supplier,source_url,sample_image_url,thumbnail_url
DESE16ALHNA241B,Aluminium Haze,sheet_material,DesignerONE,MR MDF Aluminium Haze Natural Finish,MR MDF,16,30.78,0,0,ForestOne,https://forest.one/media/catalog/product/a/l/aluminium_haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg
DESG16ALHNA241C,Aluminium Haze,sheet_material,DesignerONE,MR PB Aluminium Haze Natural Finish,MR PB,16,24.13,0,0,ForestOne,https://forest.one/media/catalog/product/a/l/aluminium_haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg
DESH18ALHNA3618,Aluminium Haze,sheet_material,DesignerONE,MR PB Aluminium Haze Natural Finish,MR PB,18,27.87,0,0,ForestOne,https://forest.one/media/catalog/product/a/l/aluminium_haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg
DESH25ALHNA3618,Aluminium Haze,sheet_material,DesignerONE,MR PB Aluminium Haze Natural Finish,MR PB,25,34.84,0,0,ForestOne,https://forest.one/media/catalog/product/a/l/aluminium_haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg
DESE16BNONA241B,Banstead Oak,sheet_material,DesignerONE,MR MDF Banstead Oak Natural Finish,MR MDF,16,30.78,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/banstead_oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg
DESG16BNONA241C,Banstead Oak,sheet_material,DesignerONE,MR PB Banstead Oak Natural Finish,MR PB,16,24.13,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/banstead_oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg
DESH18BNONA3618,Banstead Oak,sheet_material,DesignerONE,MR PB Banstead Oak Natural Finish,MR PB,18,27.87,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/banstead_oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg
DESH25BNONA3618,Banstead Oak,sheet_material,DesignerONE,MR PB Banstead Oak Natural Finish,MR PB,25,34.84,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/banstead_oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg
DESE16BTSNA241B,Battleship,sheet_material,DesignerONE,MR MDF Battleship Natural Finish,MR MDF,16,31.62,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg
DESG16BTSNA241C,Battleship,sheet_material,DesignerONE,MR PB Battleship Natural Finish,MR PB,16,25.53,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg
DESH16BTSNA3618,Battleship,sheet_material,DesignerONE,MR PB Battleship Natural Finish,MR PB,16,25.53,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg
DESH18BTSNA3618,Battleship,sheet_material,DesignerONE,MR PB Battleship Natural Finish,MR PB,18,29.72,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg
DESH25BTSNA3618,Battleship,sheet_material,DesignerONE,MR PB Battleship Natural Finish,MR PB,25,36.62,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg
DESE16CYOWA241B,Canyon Oak,sheet_material,DesignerONE,MR MDF Canyon Oak Drift Finish,MR MDF,16,31.62,0,0,ForestOne,https://forest.one/media/catalog/product/c/a/canyon_oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/canyon-oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/canyon-oak.jpg
DESG16CYOWA241C,Canyon Oak,sheet_material,DesignerONE,MR PB Canyon Oak Drift Finish,MR PB,16,25.53,0,0,ForestOne,https://forest.one/media/catalog/product/c/a/canyon_oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/canyon-oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/canyon-oak.jpg
