item_code,name,material_type,brand,finish,substrate,thickness,area_cost,area_handling_cost,area_assembly_cost,source_supplier,source_url,sample_image_url,thumbnail_url,sheet_length,sheet_width,sheet_cost,currency,price_status,review_status,visibility_status,texture_image_url,source_name,source_page,scraper_item_hash
DESE16ALHNA241B,Aluminium Haze,sheet_material,DesignerONE,MR MDF Aluminium Haze Natural Finish,MR MDF,16,30.78,0,0,ForestOne,https://forest.one/media/catalog/product/a/l/aluminium_haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg,2400,1200,88.66,AUD,captured_raw_ex_gst,approved,Available,,BOWEBUIL - DesignerOne Pricelist.pdf,4,e580bae6ed721910b6312d13935caa361d095d29455e4d23e364ed4db53e0857
DESG16ALHNA241C,Aluminium Haze,sheet_material,DesignerONE,MR PB Aluminium Haze Natural Finish,MR PB,16,24.13,0,0,ForestOne,https://forest.one/media/catalog/product/a/l/aluminium_haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg,2400,1200,69.49,AUD,captured_raw_ex_gst,approved,Available,,BOWEBUIL - DesignerOne Pricelist.pdf,2,82ebd1b4741544001be344cb53f386f852519ca3ea35da144b8177265a4683ba
DESH18ALHNA3618,Aluminium Haze,sheet_material,DesignerONE,MR PB Aluminium Haze Natural Finish,MR PB,18,27.87,0,0,ForestOne,https://forest.one/media/catalog/product/a/l/aluminium_haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg,3600,1800,180.61,AUD,captured_raw_ex_gst,approved,Available,,BOWEBUIL - DesignerOne Pricelist.pdf,5,ad542581932462c4b3e81006448fcb8a2b3157317fefd7812f96d929bfefdd0a
DESH25ALHNA3618,Aluminium Haze,sheet_material,DesignerONE,MR PB Aluminium Haze Natural Finish,MR PB,25,34.84,0,0,ForestOne,https://forest.one/media/catalog/product/a/l/aluminium_haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/aluminium-haze.jpg,3600,1800,225.79,AUD,captured_raw_ex_gst,approved,Available,,BOWEBUIL - DesignerOne Pricelist.pdf,6,f7ce8fcedc3aabe98e03efb179a8d6a2d8b5a4cea4c699bb5bda3a247e94707e
DESE16BNONA241B,Banstead Oak,sheet_material,DesignerONE,MR MDF Banstead Oak Natural Finish,MR MDF,16,30.78,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/banstead_oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg,2400,1200,88.66,AUD,captured_raw_ex_gst,approved,Available,,BOWEBUIL - DesignerOne Pricelist.pdf,4,e9f50fa6af510ddf2cfbaeea43cd0261e912f4b570a71b3984337214d4b7d053
DESG16BNONA241C,Banstead Oak,sheet_material,DesignerONE,MR PB Banstead Oak Natural Finish,MR PB,16,24.13,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/banstead_oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg,2400,1200,69.49,AUD,captured_raw_ex_gst,approved,Available,,BOWEBUIL - DesignerOne Pricelist.pdf,2,1aab1f21657984aea28df5d5c0834d574228d4b90dd4d3c61713390154789863
DESH18BNONA3618,Banstead Oak,sheet_material,DesignerONE,MR PB Banstead Oak Natural Finish,MR PB,18,27.87,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/banstead_oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg,3600,1800,180.61,AUD,captured_raw_ex_gst,approved,Available,,BOWEBUIL - DesignerOne Pricelist.pdf,5,c9591d3e241f2cee8b9038cb21dba74b5f6005d44a585833b0dab625295f7af3
DESH25BNONA3618,Banstead Oak,sheet_material,DesignerONE,MR PB Banstead Oak Natural Finish,MR PB,25,34.84,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/banstead_oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/banstead-oak.jpg,3600,1800,225.79,AUD,captured_raw_ex_gst,approved,Available,,BOWEBUIL - DesignerOne Pricelist.pdf,6,d49a9f807b715aca1d399baac8974627bd61539d7ce48486dac3ae31086e5ee7
DESE16BTSNA241B,Battleship,sheet_material,DesignerONE,MR MDF Battleship Natural Finish,MR MDF,16,31.62,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg,2400,1200,91.05,AUD,captured_raw_ex_gst,approved,Available,,BOWEBUIL - DesignerOne Pricelist.pdf,4,4e5e16b51e32d78475818455c91dfe43ebc236ea88fe149c1802c66d1d42c7e1
DESG16BTSNA241C,Battleship,sheet_material,DesignerONE,MR PB Battleship Natural Finish,MR PB,16,25.53,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg,2400,1200,73.51,AUD,captured_raw_ex_gst,approved,Available,,BOWEBUIL - DesignerOne Pricelist.pdf,3,abbe1cca773f3060d16d8ff3fbd10a1451181532436e7cc7c54bba12dcf776fa
DESH16BTSNA3618,Battleship,sheet_material,DesignerONE,MR PB Battleship Natural Finish,MR PB,16,25.53,0,0,ForestOne,https://forest.one/media/catalog/product/b/a/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/designer-one/battleship.jpg,3600,1800,165.41,AUD,captured_raw_ex_gst,approved,Available,,BOWEBUIL - DesignerOne Pricelist.pdf,3,50b14ffcd82e2dafb77d02f26805180c79f61c3d0af32bdd1a3a749333fd750a
